iteration,train_loss,val_loss,lr,elapsed_s
100,0.002739,,4.000000e-06,8.5
200,0.000393,,8.000000e-06,16.0
300,0.000130,,1.200000e-05,23.6
400,0.000639,,1.600000e-05,31.3
500,0.000957,,2.000000e-05,39.0
600,0.000185,,2.400000e-05,47.3
700,0.000763,,2.800000e-05,55.1
800,0.002039,,3.200000e-05,62.8
900,0.001379,,3.600000e-05,70.8
1000,0.000275,,4.000000e-05,78.8
1000,,0.000586,4.000000e-05,95.4
1100,0.000189,,4.400000e-05,103.2
1200,0.000198,,4.800000e-05,111.1
1300,0.000232,,5.200000e-05,118.9
1400,0.000554,,5.600000e-05,126.6
1500,0.000280,,6.000000e-05,134.3
1600,0.000125,,6.400000e-05,142.2
1700,0.001111,,6.800000e-05,149.8
1800,0.000300,,7.200000e-05,157.5
1900,0.000089,,7.600000e-05,165.1
2000,0.000251,,8.000000e-05,172.8
2000,,0.000351,8.000000e-05,189.4
2100,0.000186,,8.400000e-05,197.1
2200,0.000192,,8.800000e-05,204.8
2300,0.000258,,9.200000e-05,212.5
2400,0.000139,,9.600000e-05,220.5
2500,0.000459,,1.000000e-04,228.1
2600,0.000616,,1.040000e-04,235.9
2700,0.000402,,1.080000e-04,243.6
2800,0.000093,,1.120000e-04,251.4
2900,0.000085,,1.160000e-04,259.1
3000,0.000476,,1.200000e-04,266.6
3000,,0.000271,1.200000e-04,283.1
3100,0.000085,,1.240000e-04,291.0
3200,0.000374,,1.280000e-04,298.8
3300,0.000431,,1.320000e-04,306.6
3400,0.000265,,1.360000e-04,314.5
3500,0.000185,,1.400000e-04,322.3
3600,0.000271,,1.440000e-04,329.8
3700,0.000113,,1.480000e-04,337.5
3800,0.000257,,1.520000e-04,345.2
3900,0.000120,,1.560000e-04,353.1
4000,0.000217,,1.600000e-04,361.0
4000,,0.000186,1.600000e-04,377.5
4100,0.000094,,1.640000e-04,385.3
4200,0.000069,,1.680000e-04,393.0
4300,0.000121,,1.720000e-04,401.0
4400,0.000068,,1.760000e-04,408.7
4500,0.000044,,1.800000e-04,416.6
4600,0.000468,,1.840000e-04,424.3
4700,0.000052,,1.880000e-04,432.2
4800,0.000200,,1.920000e-04,439.8
4900,0.000132,,1.960000e-04,447.6
5000,0.000034,,2.000000e-04,455.2
5000,,0.000105,2.000000e-04,471.8
5100,0.000040,,2.040000e-04,479.5
5200,0.000030,,2.080000e-04,487.4
5300,0.000010,,2.120000e-04,494.9
5400,0.000061,,2.160000e-04,502.5
5500,0.000026,,2.200000e-04,510.3
5600,0.000014,,2.240000e-04,517.9
5700,0.000007,,2.280000e-04,525.6
5800,0.000114,,2.320000e-04,533.4
5900,0.000055,,2.360000e-04,541.2
6000,0.000019,,2.400000e-04,549.0
6000,,0.000071,2.400000e-04,565.6
6100,0.000002,,2.440000e-04,573.3
6200,0.000106,,2.480000e-04,580.6
6300,0.000030,,2.520000e-04,588.2
6400,0.000049,,2.560000e-04,596.0
6500,0.000026,,2.600000e-04,603.7
6600,0.000080,,2.640000e-04,611.4
6700,0.000286,,2.680000e-04,619.3
6800,0.000027,,2.720000e-04,627.1
6900,0.000084,,2.760000e-04,634.8
7000,0.000071,,2.800000e-04,642.2
7000,,0.000061,2.800000e-04,658.7
7100,0.000013,,2.840000e-04,666.7
7200,0.000122,,2.880000e-04,674.4
7300,0.000014,,2.920000e-04,682.1
7400,0.000023,,2.960000e-04,689.8
7500,0.000023,,3.000000e-04,697.7
7600,0.000049,,3.000000e-04,705.5
7700,0.000031,,3.000000e-04,713.5
7800,0.000029,,3.000000e-04,721.1
7900,0.000012,,3.000000e-04,728.7
8000,0.000010,,3.000000e-04,736.4
8000,,0.000060,3.000000e-04,752.7
8100,0.000016,,3.000000e-04,760.5
8200,0.000057,,3.000000e-04,768.4
8300,0.000057,,3.000000e-04,776.0
8400,0.000044,,3.000000e-04,783.6
8500,0.000040,,3.000000e-04,791.6
8600,0.000014,,3.000000e-04,799.4
8700,0.000015,,3.000000e-04,807.0
8800,0.000067,,3.000000e-04,814.8
8900,0.000023,,3.000000e-04,822.6
9000,0.000076,,3.000000e-04,830.1
9000,,0.000059,3.000000e-04,846.6
9100,0.000135,,3.000000e-04,854.1
9200,0.000022,,3.000000e-04,861.8
9300,0.000021,,3.000000e-04,869.7
9400,0.000057,,3.000000e-04,877.2
9500,0.000054,,3.000000e-04,884.8
9600,0.000043,,3.000000e-04,892.7
9700,0.000016,,3.000000e-04,900.2
9800,0.000039,,3.000000e-04,907.8
9900,0.000033,,3.000000e-04,915.4
10000,0.000034,,3.000000e-04,923.1
10000,,0.000060,3.000000e-04,939.8
10100,0.000037,,3.000000e-04,947.7
10200,0.000020,,3.000000e-04,955.6
10300,0.000012,,3.000000e-04,963.4
10400,0.000029,,3.000000e-04,971.3
10500,0.000030,,3.000000e-04,979.1
10600,0.000060,,3.000000e-04,987.0
10700,0.000103,,3.000000e-04,994.6
10800,0.000054,,3.000000e-04,1002.4
10900,0.000018,,3.000000e-04,1010.1
11000,0.000014,,3.000000e-04,1017.8
11000,,0.000058,3.000000e-04,1034.3
11100,0.000028,,3.000000e-04,1042.3
11200,0.000021,,3.000000e-04,1049.9
11300,0.000108,,3.000000e-04,1057.7
11400,0.000029,,3.000000e-04,1065.3
