iteration,train_loss,val_loss,lr,elapsed_s
100,0.053610,,4.000000e-06,11.1
200,0.025578,,8.000000e-06,21.1
300,0.014711,,1.200000e-05,31.4
400,0.030488,,1.600000e-05,42.0
500,0.038823,,2.000000e-05,52.5
600,0.018991,,2.400000e-05,62.9
700,0.036348,,2.800000e-05,72.9
800,0.052541,,3.200000e-05,83.1
900,0.054258,,3.600000e-05,93.4
1000,0.020762,,4.000000e-05,103.7
1000,,0.028149,4.000000e-05,129.9
1100,0.018562,,4.400000e-05,140.4
1200,0.018536,,4.800000e-05,150.7
1300,0.020859,,5.200000e-05,161.0
1400,0.029101,,5.600000e-05,171.2
1500,0.023089,,6.000000e-05,181.5
1600,0.015388,,6.400000e-05,191.7
1700,0.043676,,6.800000e-05,201.9
1800,0.022366,,7.200000e-05,212.2
1900,0.012267,,7.600000e-05,222.2
2000,0.021846,,8.000000e-05,232.3
2000,,0.020605,8.000000e-05,258.3
2100,0.016354,,8.400000e-05,269.0
2200,0.017081,,8.800000e-05,279.3
2300,0.021868,,9.200000e-05,289.5
2400,0.014709,,9.600000e-05,299.8
2500,0.026050,,1.000000e-04,310.0
2600,0.026448,,1.040000e-04,320.2
2700,0.021204,,1.080000e-04,330.4
2800,0.011277,,1.120000e-04,340.6
2900,0.010303,,1.160000e-04,350.9
3000,0.024601,,1.200000e-04,360.9
3000,,0.015986,1.200000e-04,386.9
3100,0.011568,,1.240000e-04,397.6
3200,0.021969,,1.280000e-04,407.9
3300,0.019151,,1.320000e-04,418.3
3400,0.016813,,1.360000e-04,429.0
3500,0.014280,,1.400000e-04,439.1
3600,0.016106,,1.440000e-04,449.4
3700,0.010192,,1.480000e-04,459.6
3800,0.016259,,1.520000e-04,469.8
3900,0.011547,,1.560000e-04,480.2
4000,0.014515,,1.600000e-04,490.4
4000,,0.012519,1.600000e-04,516.6
4100,0.009912,,1.640000e-04,527.3
4200,0.007445,,1.680000e-04,537.4
4300,0.010597,,1.720000e-04,547.8
4400,0.008311,,1.760000e-04,557.9
4500,0.006588,,1.800000e-04,568.1
4600,0.020678,,1.840000e-04,578.5
4700,0.006530,,1.880000e-04,588.8
4800,0.013686,,1.920000e-04,599.0
4900,0.011418,,1.960000e-04,609.2
5000,0.005623,,2.000000e-04,619.3
5000,,0.008769,2.000000e-04,645.4
5100,0.005739,,2.040000e-04,655.9
5200,0.005327,,2.080000e-04,666.2
5300,0.003705,,2.120000e-04,676.2
5400,0.007066,,2.160000e-04,686.3
5500,0.005140,,2.200000e-04,696.5
5600,0.003131,,2.240000e-04,706.6
5700,0.002994,,2.280000e-04,716.5
5800,0.008335,,2.320000e-04,726.5
5900,0.007159,,2.360000e-04,736.5
6000,0.004158,,2.400000e-04,746.7
6000,,0.006970,2.400000e-04,772.3
6100,0.001475,,2.440000e-04,782.7
6200,0.009330,,2.480000e-04,792.7
6300,0.004485,,2.520000e-04,802.8
6400,0.006843,,2.560000e-04,812.9
6500,0.004650,,2.600000e-04,822.8
6600,0.008172,,2.640000e-04,832.9
6700,0.014729,,2.680000e-04,843.2
6800,0.004842,,2.720000e-04,853.2
6900,0.008545,,2.760000e-04,863.2
7000,0.007818,,2.800000e-04,873.0
7000,,0.005655,2.800000e-04,898.5
7100,0.003341,,2.840000e-04,909.1
7200,0.008037,,2.880000e-04,919.0
7300,0.003438,,2.920000e-04,929.0
7400,0.003711,,2.960000e-04,938.9
7500,0.003225,,3.000000e-04,949.0
7600,0.006091,,3.000000e-04,959.1
7700,0.004827,,3.000000e-04,969.3
7800,0.004736,,3.000000e-04,979.1
7900,0.002607,,3.000000e-04,988.9
8000,0.002494,,3.000000e-04,998.8
8000,,0.005272,3.000000e-04,1024.4
8100,0.003380,,3.000000e-04,1034.6
8200,0.006305,,3.000000e-04,1044.7
8300,0.005684,,3.000000e-04,1054.6
8400,0.004941,,3.000000e-04,1064.6
8500,0.005114,,3.000000e-04,1074.6
8600,0.003053,,3.000000e-04,1084.7
8700,0.002919,,3.000000e-04,1094.7
8800,0.006672,,3.000000e-04,1104.7
8900,0.003722,,3.000000e-04,1115.0
9000,0.007079,,3.000000e-04,1124.8
9000,,0.004968,3.000000e-04,1150.4
9100,0.008718,,3.000000e-04,1160.7
9200,0.003814,,3.000000e-04,1170.9
9300,0.003472,,3.000000e-04,1180.8
9400,0.005102,,3.000000e-04,1190.8
9500,0.005777,,3.000000e-04,1200.7
9600,0.004849,,3.000000e-04,1210.7
9700,0.003061,,3.000000e-04,1220.8
9800,0.004128,,3.000000e-04,1230.7
9900,0.003860,,3.000000e-04,1240.7
10000,0.004442,,3.000000e-04,1250.6
10000,,0.004929,3.000000e-04,1276.1
10100,0.004597,,3.000000e-04,1287.0
10200,0.003231,,3.000000e-04,1297.2
10300,0.002687,,3.000000e-04,1307.1
10400,0.003933,,3.000000e-04,1317.1
10500,0.004075,,3.000000e-04,1327.0
10600,0.005853,,3.000000e-04,1337.1
10700,0.006995,,3.000000e-04,1347.0
10800,0.005844,,3.000000e-04,1357.0
10900,0.003248,,3.000000e-04,1366.9
11000,0.002816,,3.000000e-04,1376.9
11000,,0.004776,3.000000e-04,1402.3
11100,0.003894,,3.000000e-04,1412.8
11200,0.003364,,3.000000e-04,1422.9
11300,0.007844,,3.000000e-04,1432.6
11400,0.003238,,3.000000e-04,1442.6
11500,0.004151,,3.000000e-04,1452.5
11600,0.005903,,3.000000e-04,1462.5
11700,0.004508,,3.000000e-04,1472.5
11800,0.001483,,3.000000e-04,1482.6
11900,0.008213,,3.000000e-04,1492.8
12000,0.004464,,3.000000e-04,1502.6
12000,,0.004740,3.000000e-04,1528.1
12100,0.003346,,3.000000e-04,1538.4
12200,0.002764,,3.000000e-04,1548.6
12300,0.003325,,3.000000e-04,1558.5
12400,0.003482,,3.000000e-04,1568.4
12500,0.002648,,3.000000e-04,1578.4
12600,0.002974,,3.000000e-04,1588.4
12700,0.003724,,3.000000e-04,1598.5
12800,0.004440,,3.000000e-04,1608.5
12900,0.009005,,3.000000e-04,1618.4
13000,0.006152,,3.000000e-04,1628.3
13000,,0.004699,3.000000e-04,1653.8
13100,0.004339,,3.000000e-04,1664.1
13200,0.003239,,3.000000e-04,1674.0
13300,0.003177,,3.000000e-04,1684.0
13400,0.009024,,3.000000e-04,1694.5
13500,0.005372,,3.000000e-04,1704.4
13600,0.003061,,3.000000e-04,1714.5
13700,0.001338,,3.000000e-04,1724.4
13800,0.004282,,3.000000e-04,1734.4
13900,0.005705,,3.000000e-04,1744.5
14000,0.001478,,3.000000e-04,1754.4
14000,,0.004689,3.000000e-04,1780.0
