iteration,train_loss,val_loss,lr,elapsed_s
100,0.061862,,4.000000e-06,10.8
200,0.025563,,8.000000e-06,20.5
300,0.014527,,1.200000e-05,30.3
400,0.051348,,1.600000e-05,40.3
500,0.037256,,2.000000e-05,50.2
600,0.019187,,2.400000e-05,60.7
700,0.031708,,2.800000e-05,70.6
800,0.050645,,3.200000e-05,80.5
900,0.075579,,3.600000e-05,90.3
1000,0.019090,,4.000000e-05,100.2
1000,,0.027549,4.000000e-05,125.7
1100,0.017389,,4.400000e-05,135.8
1200,0.020742,,4.800000e-05,145.6
1300,0.018073,,5.200000e-05,155.5
1400,0.027067,,5.600000e-05,165.3
1500,0.020982,,6.000000e-05,175.1
1600,0.019739,,6.400000e-05,185.0
1700,0.040403,,6.800000e-05,194.7
1800,0.028453,,7.200000e-05,204.5
1900,0.010923,,7.600000e-05,214.2
2000,0.021515,,8.000000e-05,223.9
2000,,0.021634,8.000000e-05,249.2
2100,0.016052,,8.400000e-05,259.4
2200,0.017350,,8.800000e-05,269.3
2300,0.021553,,9.200000e-05,279.0
2400,0.014962,,9.600000e-05,288.8
2500,0.027297,,1.000000e-04,298.6
2600,0.028790,,1.040000e-04,308.3
2700,0.022977,,1.080000e-04,318.2
2800,0.011519,,1.120000e-04,327.9
2900,0.010722,,1.160000e-04,337.7
3000,0.026944,,1.200000e-04,347.4
3000,,0.017950,1.200000e-04,372.8
3100,0.015777,,1.240000e-04,383.0
3200,0.023750,,1.280000e-04,392.8
3300,0.021311,,1.320000e-04,402.8
3400,0.026877,,1.360000e-04,413.0
3500,0.015268,,1.400000e-04,422.7
3600,0.018318,,1.440000e-04,432.5
3700,0.011927,,1.480000e-04,442.3
3800,0.027363,,1.520000e-04,452.0
3900,0.013097,,1.560000e-04,461.9
4000,0.017379,,1.600000e-04,471.7
4000,,0.015452,1.600000e-04,497.3
4100,0.012461,,1.640000e-04,507.5
4200,0.009747,,1.680000e-04,517.2
4300,0.014514,,1.720000e-04,527.1
4400,0.011333,,1.760000e-04,536.7
4500,0.009142,,1.800000e-04,546.5
4600,0.029397,,1.840000e-04,556.4
4700,0.011643,,1.880000e-04,566.3
4800,0.019228,,1.920000e-04,576.1
4900,0.016527,,1.960000e-04,585.8
5000,0.008044,,2.000000e-04,595.5
5000,,0.013188,2.000000e-04,620.8
5100,0.008149,,2.040000e-04,630.9
5200,0.009721,,2.080000e-04,640.7
5300,0.004997,,2.120000e-04,650.4
5400,0.009174,,2.160000e-04,660.2
5500,0.006893,,2.200000e-04,670.0
5600,0.004155,,2.240000e-04,679.8
5700,0.004076,,2.280000e-04,689.6
5800,0.017327,,2.320000e-04,699.3
5900,0.009646,,2.360000e-04,709.0
6000,0.006368,,2.400000e-04,719.0
6000,,0.009751,2.400000e-04,744.5
6100,0.003023,,2.440000e-04,754.7
6200,0.011407,,2.480000e-04,764.4
6300,0.005402,,2.520000e-04,774.3
6400,0.010142,,2.560000e-04,784.1
6500,0.005508,,2.600000e-04,793.8
6600,0.009327,,2.640000e-04,803.7
6700,0.021988,,2.680000e-04,813.8
6800,0.005901,,2.720000e-04,823.6
6900,0.012000,,2.760000e-04,833.3
7000,0.009457,,2.800000e-04,842.9
7000,,0.007459,2.800000e-04,868.3
7100,0.004249,,2.840000e-04,878.6
7200,0.013263,,2.880000e-04,888.3
7300,0.004439,,2.920000e-04,898.1
7400,0.004229,,2.960000e-04,907.8
7500,0.003624,,3.000000e-04,917.7
7600,0.007574,,3.000000e-04,927.6
7700,0.005680,,3.000000e-04,937.6
7800,0.005833,,3.000000e-04,947.1
7900,0.003148,,3.000000e-04,956.8
8000,0.002893,,3.000000e-04,966.5
8000,,0.006621,3.000000e-04,991.8
8100,0.003828,,3.000000e-04,1001.8
8200,0.007652,,3.000000e-04,1011.6
8300,0.006633,,3.000000e-04,1021.4
8400,0.005619,,3.000000e-04,1031.2
8500,0.006230,,3.000000e-04,1041.1
8600,0.003645,,3.000000e-04,1051.0
8700,0.003633,,3.000000e-04,1060.8
8800,0.008122,,3.000000e-04,1070.6
8900,0.005385,,3.000000e-04,1080.6
9000,0.007958,,3.000000e-04,1090.3
9000,,0.006232,3.000000e-04,1115.8
9100,0.041347,,3.000000e-04,1125.8
9200,0.004244,,3.000000e-04,1135.8
9300,0.003674,,3.000000e-04,1145.6
9400,0.005677,,3.000000e-04,1155.3
9500,0.006142,,3.000000e-04,1165.1
9600,0.005424,,3.000000e-04,1174.9
9700,0.003293,,3.000000e-04,1184.8
9800,0.004275,,3.000000e-04,1194.5
9900,0.006726,,3.000000e-04,1204.2
10000,0.004674,,3.000000e-04,1214.0
10000,,0.005662,3.000000e-04,1239.5
10100,0.005079,,3.000000e-04,1250.1
10200,0.003365,,3.000000e-04,1260.1
10300,0.002971,,3.000000e-04,1269.8
10400,0.004085,,3.000000e-04,1279.6
10500,0.004271,,3.000000e-04,1289.3
10600,0.006101,,3.000000e-04,1299.3
10700,0.007104,,3.000000e-04,1308.9
10800,0.006070,,3.000000e-04,1318.8
10900,0.003904,,3.000000e-04,1328.5
11000,0.002879,,3.000000e-04,1338.3
11000,,0.005447,3.000000e-04,1363.8
11100,0.004670,,3.000000e-04,1374.1
11200,0.003411,,3.000000e-04,1383.9
11300,0.008292,,3.000000e-04,1393.5
11400,0.003186,,3.000000e-04,1403.3
11500,0.004232,,3.000000e-04,1413.0
11600,0.005946,,3.000000e-04,1422.9
11700,0.007959,,3.000000e-04,1432.6
11800,0.001953,,3.000000e-04,1442.5
11900,0.034356,,3.000000e-04,1452.5
12000,0.004466,,3.000000e-04,1462.2
12000,,0.005375,3.000000e-04,1487.6
12100,0.003688,,3.000000e-04,1497.6
12200,0.002857,,3.000000e-04,1507.6
12300,0.003273,,3.000000e-04,1517.3
12400,0.003695,,3.000000e-04,1527.0
12500,0.002665,,3.000000e-04,1536.8
12600,0.003040,,3.000000e-04,1546.7
12700,0.003803,,3.000000e-04,1556.6
12800,0.004442,,3.000000e-04,1566.5
12900,0.009754,,3.000000e-04,1576.2
13000,0.006126,,3.000000e-04,1585.9
13000,,0.005311,3.000000e-04,1611.4
13100,0.005086,,3.000000e-04,1621.4
13200,0.003252,,3.000000e-04,1631.1
13300,0.003196,,3.000000e-04,1641.0
13400,0.009111,,3.000000e-04,1651.2
13500,0.005424,,3.000000e-04,1661.0
13600,0.003340,,3.000000e-04,1670.8
13700,0.001345,,3.000000e-04,1680.5
13800,0.004336,,3.000000e-04,1690.3
13900,0.005731,,3.000000e-04,1700.1
14000,0.001534,,3.000000e-04,1709.9
14000,,0.005299,3.000000e-04,1735.5
14100,0.002897,,3.000000e-04,1745.8
14200,0.002996,,3.000000e-04,1755.5
14300,0.004262,,3.000000e-04,1765.4
14400,0.007733,,3.000000e-04,1775.3
14500,0.003550,,3.000000e-04,1785.2
14600,0.003990,,3.000000e-04,1795.0
14700,0.004168,,3.000000e-04,1804.9
14800,0.007093,,3.000000e-04,1814.8
14900,0.004868,,3.000000e-04,1824.6
15000,0.004083,,3.000000e-04,1834.3
15000,,0.005249,3.000000e-04,1859.7
15100,0.004480,,3.000000e-04,1870.2
15200,0.006407,,3.000000e-04,1879.9
15300,0.008874,,3.000000e-04,1889.8
15400,0.005504,,3.000000e-04,1899.6
15500,0.005671,,3.000000e-04,1909.2
15600,0.002910,,3.000000e-04,1919.0
15700,0.004316,,3.000000e-04,1928.9
15800,0.003784,,3.000000e-04,1938.5
15900,0.003376,,3.000000e-04,1948.2
16000,0.005539,,3.000000e-04,1958.0
16000,,0.005240,3.000000e-04,1983.5
16100,0.009285,,3.000000e-04,1993.5
16200,0.004794,,3.000000e-04,2003.1
16300,0.003440,,3.000000e-04,2012.9
16400,0.002444,,3.000000e-04,2022.6
16500,0.003135,,3.000000e-04,2032.3
16600,0.003909,,3.000000e-04,2042.0
16700,0.003598,,3.000000e-04,2051.9
16800,0.002330,,3.000000e-04,2062.0
16900,0.003475,,3.000000e-04,2071.8
17000,0.004503,,3.000000e-04,2081.4
17000,,0.005246,3.000000e-04,2107.0
17100,0.005728,,3.000000e-04,2116.7
17200,0.004693,,3.000000e-04,2126.4
17300,0.003134,,3.000000e-04,2136.1
17400,0.005259,,3.000000e-04,2146.0
17500,0.004963,,3.000000e-04,2155.7
17600,0.002636,,3.000000e-04,2165.5
17700,0.005912,,3.000000e-04,2175.3
17800,0.005194,,3.000000e-04,2185.1
17900,0.004259,,3.000000e-04,2194.8
18000,0.009585,,3.000000e-04,2204.7
18000,,0.005239,3.000000e-04,2230.1
18100,0.006449,,3.000000e-04,2240.4
18200,0.002618,,3.000000e-04,2250.3
18300,0.002970,,3.000000e-04,2260.1
18400,0.005458,,3.000000e-04,2270.0
18500,0.003695,,3.000000e-04,2279.9
18600,0.006464,,3.000000e-04,2289.7
18700,0.003072,,3.000000e-04,2299.4
18800,0.003304,,3.000000e-04,2309.1
18900,0.003414,,3.000000e-04,2319.0
19000,0.004147,,3.000000e-04,2328.8
19000,,0.005233,3.000000e-04,2354.1
19100,0.003517,,3.000000e-04,2364.2
19200,0.003687,,3.000000e-04,2373.9
19300,0.002955,,3.000000e-04,2383.9
19400,0.004955,,3.000000e-04,2393.6
19500,0.003198,,3.000000e-04,2403.4
19600,0.006670,,3.000000e-04,2412.9
19700,0.003669,,3.000000e-04,2422.9
19800,0.003456,,3.000000e-04,2432.6
19900,0.005546,,3.000000e-04,2442.4
20000,0.002937,,3.000000e-04,2452.0
20000,,0.005225,3.000000e-04,2477.5
20100,0.005416,,3.000000e-04,2488.4
20200,0.005006,,3.000000e-04,2498.2
20300,0.003738,,3.000000e-04,2507.8
20400,0.006896,,3.000000e-04,2517.6
20500,0.005115,,3.000000e-04,2527.4
20600,0.007232,,3.000000e-04,2537.1
20700,0.003408,,3.000000e-04,2546.9
20800,0.006534,,3.000000e-04,2556.5
20900,0.007105,,3.000000e-04,2566.2
21000,0.008910,,3.000000e-04,2575.9
21000,,0.005223,3.000000e-04,2601.1
21100,0.004404,,3.000000e-04,2611.3
21200,0.001668,,3.000000e-04,2621.0
21300,0.003721,,3.000000e-04,2630.7
21400,0.005571,,3.000000e-04,2640.4
21500,0.002975,,3.000000e-04,2650.3
21600,0.010237,,3.000000e-04,2659.9
21700,0.002001,,3.000000e-04,2669.9
21800,0.003654,,3.000000e-04,2679.5
21900,0.004781,,3.000000e-04,2689.4
22000,0.003771,,3.000000e-04,2699.3
22000,,0.005225,3.000000e-04,2724.6
22100,0.001540,,3.000000e-04,2734.4
22200,0.006821,,3.000000e-04,2744.2
22300,0.005849,,3.000000e-04,2753.9
22400,0.002947,,3.000000e-04,2763.8
22500,0.006927,,3.000000e-04,2773.5
22600,0.002763,,3.000000e-04,2783.3
22700,0.006371,,3.000000e-04,2793.0
22800,0.003211,,3.000000e-04,2802.8
22900,0.003984,,3.000000e-04,2812.4
23000,0.005391,,3.000000e-04,2822.4
23000,,0.005213,3.000000e-04,2847.9
23100,0.002154,,3.000000e-04,2857.9
23200,0.006702,,3.000000e-04,2867.7
23300,0.004010,,3.000000e-04,2877.5
23400,0.002671,,3.000000e-04,2887.3
23500,0.005609,,3.000000e-04,2897.3
23600,0.004207,,3.000000e-04,2907.1
23700,0.002890,,3.000000e-04,2916.8
23800,0.003570,,3.000000e-04,2926.6
23900,0.005700,,3.000000e-04,2936.5
24000,0.003408,,3.000000e-04,2946.3
24000,,0.005216,3.000000e-04,2971.7
24100,0.004811,,3.000000e-04,2981.4
24200,0.002716,,3.000000e-04,2991.2
24300,0.004953,,3.000000e-04,3001.0
24400,0.002383,,3.000000e-04,3010.9
24500,0.002777,,3.000000e-04,3020.7
24600,0.003682,,3.000000e-04,3030.5
24700,0.004127,,3.000000e-04,3040.3
24800,0.003764,,3.000000e-04,3049.9
24900,0.012874,,3.000000e-04,3059.6
25000,0.007263,,3.000000e-04,3069.5
25000,,0.005218,3.000000e-04,3094.9
25100,0.003673,,3.000000e-04,3104.5
25200,0.008399,,3.000000e-04,3114.3
25300,0.005399,,3.000000e-04,3124.2
25400,0.005225,,3.000000e-04,3133.8
25500,0.005129,,3.000000e-04,3143.8
25600,0.005047,,3.000000e-04,3153.5
25700,0.004410,,3.000000e-04,3163.3
25800,0.003274,,3.000000e-04,3173.0
25900,0.004437,,3.000000e-04,3182.8
26000,0.008524,,3.000000e-04,3192.8
26000,,0.005208,3.000000e-04,3218.1
26100,0.002874,,3.000000e-04,3228.3
26200,0.005087,,3.000000e-04,3238.1
26300,0.005284,,3.000000e-04,3247.8
26400,0.004679,,3.000000e-04,3257.5
26500,0.005412,,3.000000e-04,3267.3
26600,0.005879,,3.000000e-04,3277.0
26700,0.002922,,3.000000e-04,3286.8
26800,0.003496,,3.000000e-04,3296.8
26900,0.001635,,3.000000e-04,3306.6
27000,0.005515,,3.000000e-04,3316.4
27000,,0.005207,3.000000e-04,3341.8
27100,0.003945,,3.000000e-04,3352.0
27200,0.005041,,3.000000e-04,3361.6
27300,0.001645,,3.000000e-04,3371.3
27400,0.004022,,3.000000e-04,3381.2
27500,0.004854,,3.000000e-04,3391.1
27600,0.003983,,3.000000e-04,3400.8
27700,0.013575,,3.000000e-04,3410.6
27800,0.006867,,3.000000e-04,3420.3
27900,0.005990,,3.000000e-04,3430.2
28000,0.005713,,3.000000e-04,3439.8
28000,,0.005207,3.000000e-04,3465.3
28100,0.010713,,3.000000e-04,3475.1
28200,0.005367,,3.000000e-04,3484.8
28300,0.007649,,3.000000e-04,3494.6
28400,0.003157,,3.000000e-04,3504.4
28500,0.002967,,3.000000e-04,3514.4
28600,0.005133,,3.000000e-04,3524.1
28700,0.026838,,3.000000e-04,3533.9
28800,0.004982,,3.000000e-04,3543.6
28900,0.004523,,3.000000e-04,3553.3
29000,0.002362,,3.000000e-04,3563.1
29000,,0.005202,3.000000e-04,3588.5
29100,0.003643,,3.000000e-04,3598.6
29200,0.005194,,3.000000e-04,3608.3
29300,0.008556,,3.000000e-04,3618.0
29400,0.003416,,3.000000e-04,3627.8
29500,0.003417,,3.000000e-04,3637.4
29600,0.003592,,3.000000e-04,3647.3
29700,0.005139,,3.000000e-04,3657.2
29800,0.003718,,3.000000e-04,3667.1
29900,0.007397,,3.000000e-04,3677.0
30000,0.029230,,3.000000e-04,3687.0
30000,,0.005197,3.000000e-04,3712.4
30100,0.004667,,3.000000e-04,3722.9
30200,0.003429,,3.000000e-04,3732.9
30300,0.003793,,3.000000e-04,3742.7
30400,0.003268,,3.000000e-04,3752.5
30500,0.003007,,3.000000e-04,3762.4
30600,0.003478,,3.000000e-04,3772.2
30700,0.011143,,3.000000e-04,3782.1
30800,0.010505,,3.000000e-04,3792.0
30900,0.003713,,3.000000e-04,3801.8
31000,0.003801,,3.000000e-04,3811.7
31000,,0.005202,3.000000e-04,3837.1
31100,0.003864,,3.000000e-04,3847.1
31200,0.005563,,3.000000e-04,3856.9
31300,0.007220,,3.000000e-04,3866.7
31400,0.002118,,3.000000e-04,3876.2
31500,0.004532,,3.000000e-04,3886.0
31600,0.005143,,3.000000e-04,3895.7
31700,0.012133,,3.000000e-04,3905.4
31800,0.004293,,3.000000e-04,3915.2
31900,0.001591,,3.000000e-04,3925.0
32000,0.010135,,3.000000e-04,3934.8
32000,,0.005245,3.000000e-04,3960.4
32100,0.002729,,3.000000e-04,3970.0
32200,0.005446,,3.000000e-04,3979.9
32300,0.004062,,3.000000e-04,3989.6
32400,0.006283,,3.000000e-04,3999.3
32500,0.003752,,3.000000e-04,4009.0
32600,0.002342,,3.000000e-04,4018.8
32700,0.005857,,3.000000e-04,4028.7
32800,0.004085,,3.000000e-04,4038.5
32900,0.004373,,3.000000e-04,4048.4
33000,0.005877,,3.000000e-04,4058.3
33000,,0.005208,3.000000e-04,4083.7
33100,0.006301,,3.000000e-04,4093.3
33200,0.003931,,3.000000e-04,4103.0
33300,0.004495,,3.000000e-04,4112.7
33400,0.003711,,3.000000e-04,4122.7
33500,0.004111,,3.000000e-04,4132.6
33600,0.003720,,3.000000e-04,4142.4
33700,0.003565,,3.000000e-04,4152.1
33800,0.004237,,3.000000e-04,4162.0
33900,0.004088,,3.000000e-04,4171.9
34000,0.006146,,3.000000e-04,4181.7
34000,,0.005193,3.000000e-04,4207.1
34100,0.003576,,3.000000e-04,4217.2
34200,0.005839,,3.000000e-04,4227.0
34300,0.006224,,3.000000e-04,4236.7
34400,0.003930,,3.000000e-04,4246.5
34500,0.004464,,3.000000e-04,4256.3
34600,0.004489,,3.000000e-04,4266.1
34700,0.004708,,3.000000e-04,4276.0
34800,0.002747,,3.000000e-04,4286.0
34900,0.008663,,3.000000e-04,4295.6
35000,0.004632,,3.000000e-04,4305.3
35000,,0.005188,3.000000e-04,4330.8
35100,0.004653,,3.000000e-04,4341.0
35200,0.003701,,3.000000e-04,4350.9
35300,0.004390,,3.000000e-04,4360.7
35400,0.006225,,3.000000e-04,4370.4
35500,0.005485,,3.000000e-04,4380.1
35600,0.005120,,3.000000e-04,4390.0
35700,0.003120,,3.000000e-04,4399.7
35800,0.003905,,3.000000e-04,4409.5
35900,0.001717,,3.000000e-04,4419.2
36000,0.005490,,3.000000e-04,4429.1
36000,,0.005186,3.000000e-04,4454.5
36100,0.003041,,3.000000e-04,4464.5
36200,0.009883,,3.000000e-04,4474.3
36300,0.002890,,3.000000e-04,4484.1
36400,0.004715,,3.000000e-04,4494.0
36500,0.002833,,3.000000e-04,4503.7
36600,0.004387,,3.000000e-04,4513.5
36700,0.002228,,3.000000e-04,4523.3
36800,0.003650,,3.000000e-04,4533.1
36900,0.004330,,3.000000e-04,4542.9
37000,0.008094,,3.000000e-04,4552.6
37000,,0.005193,3.000000e-04,4577.9
37100,0.002704,,3.000000e-04,4587.7
37200,0.008994,,3.000000e-04,4597.4
37300,0.005855,,3.000000e-04,4607.2
37400,0.004346,,3.000000e-04,4617.0
37500,0.004856,,3.000000e-04,4626.8
37600,0.004238,,3.000000e-04,4636.6
37700,0.003450,,3.000000e-04,4646.3
37800,0.004367,,3.000000e-04,4656.1
37900,0.002712,,3.000000e-04,4665.9
