group,calibrator,nominal_coverage,alpha,q_hat,coverage_global,coverage_lesion,width_global,width_lesion,n_pixels_global,n_pixels_lesion
A,scaled,0.5,0.5,0.8335672616958618,0.492091682046491,0.4287840680065475,0.012590370553393493,0.022532356802722437,68366624,1981221
A,scaled,0.55,0.45,0.9336438179016113,0.5415129903152743,0.4730602996838818,0.014101947344178765,0.02523755022338056,68366624,1981221
A,scaled,0.6,0.4,1.040343999862671,0.5910094083335167,0.5181542089448881,0.015713568734240516,0.02812178846226093,68366624,1981221
A,scaled,0.65,0.35,1.1556086540222168,0.6406375719239844,0.5639809995957039,0.017454549665551287,0.03123753500559496,68366624,1981221
A,scaled,0.7,0.3,1.282193899154663,0.6904106015239249,0.6107173303735424,0.01936651912026237,0.0346592911617587,68366624,1981221
A,scaled,0.75,0.25,1.42423415184021,0.7403437677425757,0.6585378410586199,0.02151192417272373,0.03849881533806607,68366624,1981221
A,scaled,0.8,0.2,1.5885392427444458,0.790513423626125,0.7082531428851199,0.023993621899293167,0.042940185702379605,68366624,1981221
A,scaled,0.85,0.15,1.7884601354599,0.841080173857934,0.7604058305459108,0.027013267987038854,0.04834429535733268,68366624,1981221
A,scaled,0.9,0.1,2.0527451038360596,0.8921664904793309,0.8164041265462056,0.031005082249007547,0.055488245796236305,68366624,1981221
A,scaled,0.925,0.075,2.2308807373046875,0.9179354972976287,0.8466975668035015,0.03369567932160686,0.060303472877525646,68366624,1981221
A,scaled,0.95,0.05,2.4732394218444824,0.9440115252729168,0.8798296605981867,0.03735631450416079,0.06685472867322362,68366624,1981221
A,scaled,0.96,0.04,2.6033737659454346,0.9545654616498249,0.8942429945977758,0.03932189027619922,0.07037242137579616,68366624,1981221
A,scaled,0.97,0.03,2.7689096927642822,0.9651989982714373,0.9100100392636662,0.041822178800377315,0.07484706276125948,68366624,1981221
A,scaled,0.98,0.02,2.9993844032287598,0.9759226373383597,0.9273427850805135,0.04530331600582649,0.0810770800002097,68366624,1981221
A,scaled,0.99,0.01,3.392369508743286,0.9869115959272758,0.9479851061542351,0.051239043484285936,0.09169995474890594,68366624,1981221
