group,calibrator,nominal_coverage,alpha,q_hat,coverage_global,coverage_lesion,width_global,width_lesion,n_pixels_global,n_pixels_lesion
B,cqr,0.5,0.5,0.0003937259316444397,0.4941127267012629,0.4572286483940964,0.01580791011560096,0.027772572644449958,68366624,1981221
B,cqr,0.55,0.45,0.0010455939918756485,0.5400365973899779,0.4822788573309086,0.01711164623606338,0.029076308764912375,68366624,1981221
B,cqr,0.6,0.4,0.0017615407705307007,0.586322779372578,0.5087377935121826,0.018543539793373483,0.03050820232222248,68366624,1981221
B,cqr,0.65,0.35,0.002562902867794037,0.6330666700757376,0.5365438787495186,0.020146263987900155,0.032110926516749155,68366624,1981221
B,cqr,0.7,0.3,0.003483034670352936,0.6803566313293458,0.5668110725658572,0.021986527593017953,0.03395119012186695,68366624,1981221
B,cqr,0.75,0.25,0.0045726243406534195,0.7281629410280666,0.5993435361325162,0.02416570693361892,0.03613036946246792,68366624,1981221
B,cqr,0.8,0.2,0.005918337032198906,0.7766746095287665,0.6360729065561086,0.026857132316709893,0.038821794845558893,68366624,1981221
B,cqr,0.85,0.15,0.0076904296875,0.8260014272461369,0.6778133282455617,0.03040131762731208,0.04236598015616108,68366624,1981221
B,cqr,0.9,0.1,0.01027485728263855,0.8762819851979234,0.7276684428440845,0.03557017281758918,0.04753483534643818,68366624,1981221
B,cqr,0.925,0.075,0.012176334857940674,0.9021225327727167,0.7573990988385445,0.03937312796819343,0.05133779049704243,68366624,1981221
B,cqr,0.95,0.05,0.014941133558750153,0.9288850799477827,0.7923502728872751,0.04490272536981239,0.05686738789866139,68366624,1981221
B,cqr,0.96,0.04,0.01650947332382202,0.9400659304165728,0.8085912677081456,0.048039404899956124,0.060004067428805125,68366624,1981221
B,cqr,0.97,0.03,0.01857781410217285,0.9516776929046548,0.8272393640083565,0.052176086456657784,0.06414074898550678,68366624,1981221
B,cqr,0.98,0.02,0.021588504314422607,0.963962195939352,0.8496381776692252,0.058197466881157296,0.0701621294100063,68366624,1981221
B,cqr,0.99,0.01,0.027024373412132263,0.9775075188735369,0.8798104805067178,0.0690692050765766,0.08103386760542561,68366624,1981221
