group,calibrator,nominal_coverage,alpha,q_hat,coverage_global,coverage_lesion,width_global,width_lesion,n_pixels_global,n_pixels_lesion
B,cqr_norm,0.5,0.5,0.040003929287195206,0.49655087546812315,0.4719180747629871,0.016222599445726515,0.029144142508233058,68366624,1981221
B,cqr_norm,0.55,0.45,0.10519757866859436,0.5461220668143567,0.5190607206364156,0.018181123084092667,0.0326626595136765,68366624,1981221
B,cqr_norm,0.6,0.4,0.17485091090202332,0.5956537944597059,0.5658793239118705,0.020273622874556363,0.03642186667993534,68366624,1981221
B,cqr_norm,0.65,0.35,0.2501710057258606,0.6451674284808915,0.6128180551286303,0.022536361462688753,0.04048691039207485,68366624,1981221
B,cqr_norm,0.7,0.3,0.3331731855869293,0.6947441634678349,0.6600394403249309,0.025029882424259645,0.044966558089376045,68366624,1981221
B,cqr_norm,0.75,0.25,0.42670825123786926,0.7444483290560026,0.707309785228402,0.027839828467037288,0.05001466817710493,68366624,1981221
B,cqr_norm,0.8,0.2,0.5353983640670776,0.7941493498347966,0.7540244122185259,0.031105056863553842,0.05588069982193336,68366624,1981221
B,cqr_norm,0.85,0.15,0.6679287552833557,0.8440230718427753,0.8009252879915971,0.03508648613560579,0.06303339705022494,68366624,1981221
B,cqr_norm,0.9,0.1,0.8434976935386658,0.8940642732336761,0.8480502679913043,0.040360863609464157,0.07250889505870445,68366624,1981221
B,cqr_norm,0.925,0.075,0.9622507691383362,0.9193106566151343,0.8722292969840315,0.04392839983266254,0.07891802723508737,68366624,1981221
B,cqr_norm,0.95,0.05,1.1231441497802734,0.9447673765491185,0.8975808352526043,0.048761899601948114,0.08760148185411137,68366624,1981221
B,cqr_norm,0.96,0.04,1.2090216875076294,0.9550284360977076,0.9082045869693487,0.05134180100706405,0.09223631331003421,68366624,1981221
B,cqr_norm,0.97,0.03,1.3176214694976807,0.9653785156921014,0.9196238077428011,0.054604315717731736,0.0980974697776528,68366624,1981221
B,cqr_norm,0.98,0.02,1.4681289196014404,0.9759020132396767,0.9324684121559382,0.059125805181436016,0.10622039321668186,68366624,1981221
B,cqr_norm,0.99,0.01,1.7203861474990845,0.9866706011401118,0.9484863122286711,0.06670402404898132,0.11983477674215946,68366624,1981221
