group,calibrator,nominal_coverage,alpha,q_hat,coverage_global,coverage_lesion,width_global,width_lesion,n_pixels_global,n_pixels_lesion
C,cqr,0.5,0.5,0.00036639999598264694,0.495152590831456,0.4736675010006456,0.01607205800453263,0.030052014212685246,68366624,1981221
C,cqr,0.55,0.45,0.0010215044021606445,0.5410315711947397,0.49817259154834315,0.017382266816888627,0.03136222302504124,68366624,1981221
C,cqr,0.6,0.4,0.0017403513193130493,0.58727676826634,0.524090447254496,0.018819960651193436,0.03279991685934605,68366624,1981221
C,cqr,0.65,0.35,0.0025449376553297043,0.6340295229438271,0.5513504046242191,0.020429133323226746,0.03440908953137936,68366624,1981221
C,cqr,0.7,0.3,0.003467857837677002,0.681342229214068,0.5809018781852201,0.02227497368792134,0.036254929896073956,68366624,1981221
C,cqr,0.75,0.25,0.004560139030218124,0.7291523711921185,0.6127539532439844,0.024459536073003586,0.0384394922811562,68366624,1981221
C,cqr,0.8,0.2,0.005908424034714699,0.7776550587023282,0.6484021721958327,0.027156106081996735,0.04113606229014935,68366624,1981221
C,cqr,0.85,0.15,0.0076822638511657715,0.8269361816081484,0.6888232054879289,0.03070378571489888,0.044683741923051495,68366624,1981221
C,cqr,0.9,0.1,0.010268524289131165,0.8771194406206163,0.7370646687068227,0.03587630659082967,0.04985626279898228,68366624,1981221
C,cqr,0.925,0.075,0.012170545756816864,0.9028792762971593,0.7655122775298667,0.039680349526201066,0.05366030573435368,68366624,1981221
C,cqr,0.95,0.05,0.014936670660972595,0.929537108633593,0.7988750371614273,0.04521259933451253,0.05919255554266514,68366624,1981221
C,cqr,0.96,0.04,0.01650562509894371,0.9406569059194733,0.8144734989180914,0.04835050821045476,0.06233046441860737,68366624,1981221
C,cqr,0.97,0.03,0.018574073910713196,0.9521845922946262,0.8321661238196042,0.05248740583399373,0.06646736204214634,68366624,1981221
C,cqr,0.98,0.02,0.021585524082183838,0.9643734492433033,0.8533934376831257,0.05851030617693501,0.07249026238508763,68366624,1981221
C,cqr,0.99,0.01,0.027024060487747192,0.9777695180619128,0.8820121531116417,0.06938737898806172,0.08336733519621434,68366624,1981221
