group,calibrator,nominal_coverage,alpha,q_hat,coverage_global,coverage_lesion,width_global,width_lesion,n_pixels_global,n_pixels_lesion
C,cqr_norm,0.5,0.5,0.03675544261932373,0.49749640994412714,0.4878254369401495,0.01646723793799984,0.03147449561258662,68366624,1981221
C,cqr_norm,0.55,0.45,0.10144949704408646,0.547143237612552,0.5353355329869812,0.01845200102151464,0.035268053293559684,68366624,1981221
C,cqr_norm,0.6,0.4,0.1705496460199356,0.5967390462340221,0.5823388708276361,0.02057193964604677,0.039319977434572856,68366624,1981221
C,cqr_norm,0.65,0.35,0.24526889622211456,0.6463221878558754,0.6290873153474549,0.0228642679094061,0.04370139684075137,68366624,1981221
C,cqr_norm,0.7,0.3,0.3275326192378998,0.695933822913356,0.6757620679368934,0.025388054708764922,0.04852521227613892,68366624,1981221
C,cqr_norm,0.75,0.25,0.4201538860797882,0.7455819670136118,0.7221238821918403,0.02822960286663998,0.0539563778040025,68366624,1981221
C,cqr_norm,0.8,0.2,0.5278224945068359,0.7952737581425697,0.7679017131354856,0.03153279171698384,0.06026989579464136,68366624,1981221
C,cqr_norm,0.85,0.15,0.658953845500946,0.8449286014181423,0.8135104564306557,0.03555579919207123,0.06795923213633882,68366624,1981221
C,cqr_norm,0.9,0.1,0.8327606320381165,0.8948377500693906,0.8597390195238189,0.040888055713178544,0.07815098895133532,68366624,1981221
C,cqr_norm,0.925,0.075,0.9501890540122986,0.9200301012377033,0.8836651741527068,0.0444906680237241,0.0850368070702596,68366624,1981221
C,cqr_norm,0.95,0.05,1.1091771125793457,0.9454570113042294,0.9088864896949911,0.049368297539594735,0.09435961696558685,68366624,1981221
C,cqr_norm,0.96,0.04,1.1940447092056274,0.9557190362361611,0.9197494878158469,0.05197196914849602,0.09933611945735406,68366624,1981221
C,cqr_norm,0.97,0.03,1.301304578781128,0.9660588622892948,0.9311682038500501,0.055262618209974225,0.10562566964409521,68366624,1981221
C,cqr_norm,0.98,0.02,1.4496514797210693,0.9765684202864836,0.9438119220420135,0.05981378531732935,0.11432449877937134,68366624,1981221
C,cqr_norm,0.99,0.01,1.6978745460510254,0.9873071398113793,0.9594012984921925,0.06742907520616288,0.12887990929187526,68366624,1981221
